Ref,Value or PN,Package,PosX,PosY,Rot,Side
C10,0.1u,C_0402_1005Metric,149.098,28.194,-90,bottom
C100,0.1u,C_0402_1005Metric,112.014,71.374,0,bottom
C101,0.1u,C_0402_1005Metric,104.394,70.866,-90,bottom
C102,0.1u,C_0402_1005Metric,123.19,71.12,180,bottom
C103,0.1u,C_0402_1005Metric,118.745,65.913,0,top
C104,0.1u,C_0402_1005Metric,106.426,70.866,-90,bottom
C105,0.1u,C_0402_1005Metric,156.718,71.374,0,bottom
C106,0.1u,C_0402_1005Metric,149.098,70.866,-90,bottom
C107,0.1u,C_0402_1005Metric,167.894,71.12,180,bottom
C108,0.1u,C_0402_1005Metric,163.449,65.913,0,top
C109,0.1u,C_0402_1005Metric,151.13,70.866,-90,bottom
C110,0.1u,C_0402_1005Metric,89.662,82.042,0,bottom
C111,0.1u,C_0402_1005Metric,82.042,81.534,-90,bottom
C112,0.1u,C_0402_1005Metric,100.838,81.788,180,bottom
C113,0.1u,C_0402_1005Metric,96.393,76.581,0,top
C114,0.1u,C_0402_1005Metric,84.074,81.534,-90,bottom
C115,0.1u,C_0402_1005Metric,134.366,82.042,0,bottom
C116,0.1u,C_0402_1005Metric,126.746,81.534,-90,bottom
C117,0.1u,C_0402_1005Metric,145.542,81.788,180,bottom
C118,0.1u,C_0402_1005Metric,141.097,76.581,0,top
C119,0.1u,C_0402_1005Metric,128.778,81.534,-90,bottom
C120,0.1u,C_0402_1005Metric,112.014,82.042,0,bottom
C121,0.1u,C_0402_1005Metric,104.394,81.534,-90,bottom
C122,0.1u,C_0402_1005Metric,123.19,81.788,180,bottom
C123,0.1u,C_0402_1005Metric,118.745,76.581,0,top
C124,0.1u,C_0402_1005Metric,106.426,81.534,-90,bottom
C125,0.1u,C_0402_1005Metric,156.718,82.042,0,bottom
C126,0.1u,C_0402_1005Metric,149.098,81.534,-90,bottom
C127,0.1u,C_0402_1005Metric,167.894,81.788,180,bottom
C128,0.1u,C_0402_1005Metric,163.449,76.581,0,top
C129,0.1u,C_0402_1005Metric,151.13,81.534,-90,bottom
C13,0.1u,C_0402_1005Metric,167.894,28.448,180,bottom
C130,0.1u,C_0402_1005Metric,89.662,92.71,0,bottom
C131,0.1u,C_0402_1005Metric,82.042,92.202,-90,bottom
C132,0.1u,C_0402_1005Metric,100.838,92.456,180,bottom
C133,0.1u,C_0402_1005Metric,96.393,87.249,0,top
C134,0.1u,C_0402_1005Metric,84.074,92.202,-90,bottom
C135,0.1u,C_0402_1005Metric,156.718,92.71,0,bottom
C136,0.1u,C_0402_1005Metric,149.098,92.202,-90,bottom
C137,0.1u,C_0402_1005Metric,167.894,92.456,180,bottom
C138,0.1u,C_0402_1005Metric,163.449,87.249,0,top
C139,0.1u,C_0402_1005Metric,151.13,92.202,-90,bottom
C14,0.1u,C_0402_1005Metric,163.449,23.241,0,top
C140,0.1u,C_0402_1005Metric,134.366,92.71,0,bottom
C141,0.1u,C_0402_1005Metric,126.746,92.202,-90,bottom
C142,0.1u,C_0402_1005Metric,145.542,92.456,180,bottom
C143,0.1u,C_0402_1005Metric,141.097,87.249,0,top
C144,0.1u,C_0402_1005Metric,128.778,92.202,-90,bottom
C145,0.1u,C_0402_1005Metric,112.014,92.71,0,bottom
C146,0.1u,C_0402_1005Metric,104.394,92.202,-90,bottom
C147,0.1u,C_0402_1005Metric,123.19,92.456,180,bottom
C148,0.1u,C_0402_1005Metric,118.745,87.249,0,top
C149,0.1u,C_0402_1005Metric,106.426,92.202,-90,bottom
C150,0.1u,C_0402_1005Metric,89.662,103.378,0,bottom
C151,0.1u,C_0402_1005Metric,82.042,102.87,-90,bottom
C152,0.1u,C_0402_1005Metric,100.838,103.124,180,bottom
C153,0.1u,C_0402_1005Metric,96.393,97.917,0,top
C154,0.1u,C_0402_1005Metric,84.074,102.87,-90,bottom
C155,0.1u,C_0402_1005Metric,156.718,103.378,0,bottom
C156,0.1u,C_0402_1005Metric,149.098,102.87,-90,bottom
C157,0.1u,C_0402_1005Metric,167.894,103.124,180,bottom
C158,0.1u,C_0402_1005Metric,163.449,97.917,0,top
C159,0.1u,C_0402_1005Metric,151.13,102.87,-90,bottom
C160,0.1u,C_0402_1005Metric,89.662,18.034,0,bottom
C161,0.1u,C_0402_1005Metric,82.042,17.526,-90,bottom
C162,0.1u,C_0402_1005Metric,100.838,17.78,180,bottom
C163,0.1u,C_0402_1005Metric,96.393,12.573,0,top
C164,0.1u,C_0402_1005Metric,84.074,17.526,-90,bottom
C165,0.1u,C_0402_1005Metric,134.366,18.034,0,bottom
C166,0.1u,C_0402_1005Metric,126.746,17.526,-90,bottom
C167,0.1u,C_0402_1005Metric,145.542,17.78,180,bottom
C168,0.1u,C_0402_1005Metric,141.097,12.573,0,top
C169,0.1u,C_0402_1005Metric,128.778,17.526,-90,bottom
C170,0.1u,C_0402_1005Metric,112.014,18.034,0,bottom
C171,0.1u,C_0402_1005Metric,104.394,17.526,-90,bottom
C172,0.1u,C_0402_1005Metric,123.19,17.78,180,bottom
C173,0.1u,C_0402_1005Metric,118.745,12.573,0,top
C174,0.1u,C_0402_1005Metric,106.426,17.526,-90,bottom
C175,0.1u,C_0402_1005Metric,156.718,18.034,0,bottom
C176,0.1u,C_0402_1005Metric,149.098,17.526,-90,bottom
C177,0.1u,C_0402_1005Metric,167.894,17.78,180,bottom
C178,0.1u,C_0402_1005Metric,163.449,12.573,0,top
C179,0.1u,C_0402_1005Metric,151.13,17.526,-90,bottom
C180,0.1u,C_0402_1005Metric,112.014,103.378,0,bottom
C181,0.1u,C_0402_1005Metric,104.394,102.87,-90,bottom
C182,0.1u,C_0402_1005Metric,123.19,103.124,180,bottom
C183,0.1u,C_0402_1005Metric,118.745,97.917,0,top
C184,0.1u,C_0402_1005Metric,106.426,102.87,-90,bottom
C185,0.1u,C_0402_1005Metric,134.366,103.378,0,bottom
C186,0.1u,C_0402_1005Metric,126.746,102.87,-90,bottom
C187,0.1u,C_0402_1005Metric,145.542,103.124,180,bottom
C188,0.1u,C_0402_1005Metric,141.097,97.917,0,top
C189,0.1u,C_0402_1005Metric,128.778,102.87,-90,bottom
C19,0.1u,C_0402_1005Metric,151.13,28.194,-90,bottom
C2,0.1u,C_0402_1005Metric,134.366,28.702,0,bottom
C20,0.1u,C_0402_1005Metric,112.014,28.702,0,bottom
C21,0.1u,C_0402_1005Metric,104.394,28.194,-90,bottom
C22,0.1u,C_0402_1005Metric,123.19,28.448,180,bottom
C23,0.1u,C_0402_1005Metric,118.745,23.241,0,top
C24,0.1u,C_0402_1005Metric,106.426,28.194,-90,bottom
C25,0.1u,C_0402_1005Metric,89.662,28.702,0,bottom
C26,0.1u,C_0402_1005Metric,82.042,28.194,-90,bottom
C27,0.1u,C_0402_1005Metric,100.838,28.448,180,bottom
C28,0.1u,C_0402_1005Metric,96.393,23.241,0,top
C29,0.1u,C_0402_1005Metric,84.074,28.194,-90,bottom
C3,0.1u,C_0402_1005Metric,126.746,28.194,-90,bottom
